# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 198
# >> Running at date:  (mm,dd,yy) 4, 28, 2024, and time: 19:18:45,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
116	0.271595921659548	0.177016814168518	0.051341589267286	0.125675224901232	1	9	3	12	4	20	0	3	9	6	4	8	0	2	9	10	3	17	ASV_326	ASV_701	36	610	646
117	0.269889992219308	0.176887815200509	0.051341589267286	0.125546225933223	4	5	1	2	5	7	0	0	2	2	0	3	0	0	5	2	0	7	ASV_582	ASV_562	36	610	646
118	0.268158381125511	0.17564942510763	0.051341589267286	0.124307835840344	3	6	1	5	4	11	0	0	2	5	0	5	0	0	6	5	0	11	ASV_617	ASV_721	36	610	646
119	0.267151888929381	0.176681416851696	0.051341589267286	0.12533982758441	1	2	1	2	2	4	0	0	2	2	0	3	0	0	2	2	0	4	ASV_212	ASV_165	36	610	646
120	0.265458718838528	0.175907423043647	0.051341589267286	0.124565833776361	1	2	4	4	5	6	0	0	2	1	0	2	0	0	2	4	0	6	ASV_899	ASV_547	36	610	646
121	0.262418868734705	0.171595171827371	0.051341589267286	0.120253582560085	6	6	2	6	8	12	0	0	1	4	0	4	0	0	6	6	0	12	ASV_600	ASV_753	36	610	646
122	0.261895165355019	0.17314315944347	0.052889576883385	0.120253582560085	1	1	1	7	2	7	0	0	1	7	2	6	0	0	1	7	1	6	ASV_339	ASV_554	37	609	646
123	0.257603554931308	0.171982168731395	0.052889576883385	0.11909259184801	5	5	1	2	6	7	0	0	1	2	0	2	0	0	5	2	0	7	ASV_520	ASV_495	37	609	646
124	0.25735876036926	0.173207658927474	0.0549535603715171	0.118254098555957	2	5	1	8	3	11	0	0	3	8	3	6	0	0	5	8	2	9	ASV_295	ASV_144	39	607	646
125	0.256816491738512	0.174755646543573	0.0565015479876162	0.118254098555957	1	4	1	1	2	4	0	0	4	1	2	3	0	0	4	1	1	3	ASV_422	ASV_181	40	606	646
126	0.256624376907538	0.176303634159672	0.0580495356037153	0.118254098555957	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_257	ASV_354	41	605	646
127	0.254614422559719	0.179378109563869	0.0611455108359134	0.118232598727955	2	6	1	10	3	14	2	0	4	10	3	9	1	0	5	10	3	11	ASV_199	ASV_78	43	603	646
128	0.253894485281035	0.178668615239823	0.0611455108359134	0.11752310440391	1	2	15	17	16	19	0	0	2	3	0	4	0	0	2	17	0	19	ASV_167	ASV_190	43	603	646
129	0.253144858308438	0.178797614207832	0.0611455108359134	0.117652103371918	2	3	1	2	3	5	0	0	2	2	0	3	0	0	3	2	0	5	ASV_434	ASV_47	43	603	646
130	0.252606545166816	0.17939100946067	0.0601135190918474	0.119277490368822	1	6	2	13	3	19	0	2	6	10	2	12	0	1	6	12	1	18	ASV_613	ASV_793	43	603	646
131	0.252576364121567	0.180938997076769	0.0616615067079465	0.119277490368822	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_115	ASV_143	44	602	646
132	0.251320662776623	0.180513300482342	0.0616615067079465	0.118851793774395	16	19	1	2	17	21	0	0	4	2	0	5	0	0	19	2	0	21	ASV_167	ASV_1083	44	602	646
133	0.246932396407981	0.182061288098441	0.0632094943240455	0.118851793774395	1	1	1	7	2	7	0	0	1	7	2	6	0	0	1	7	1	6	ASV_805	ASV_89	45	601	646
134	0.241136049560882	0.183867273650556	0.0632094943240455	0.12065777932651	1	12	1	2	2	14	0	0	12	2	0	12	0	0	12	2	0	14	ASV_315	ASV_222	45	601	646
135	0.240967729582308	0.184905128984077	0.0736326109391126	0.111272518044964	3	14	3	24	6	29	0	3	8	12	6	11	0	2	14	22	11	18	ASV_195	ASV_193	54	592	646
136	0.239274782233418	0.184518132080052	0.0736326109391126	0.11088552114094	1	2	6	7	7	9	0	0	2	2	0	3	0	0	2	7	0	9	ASV_117	ASV_520	54	592	646
137	0.239168379460902	0.187107493183345	0.0767285861713108	0.110378907012034	1	10	2	7	3	15	0	2	10	5	3	11	0	1	10	6	3	12	ASV_215	ASV_162	56	590	646
138	0.239151092391271	0.188655480799445	0.0782765737874098	0.110378907012034	1	6	1	1	2	6	0	0	6	1	2	5	0	0	6	1	1	5	ASV_45	ASV_270	57	589	646
