# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_final_classes_network_data.tsv
# >> Input file 2: "final_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:52:4,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
62	0.316241283311641	0.0348074710590581	0.0078482668410726	0.0269592042179855	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_502	ASV_1093	12	1517	1529
63	0.315535237033654	0.0354614932958141	0.00850228907782865	0.0269592042179855	1	2	1	2	2	3	0	0	2	2	2	2	0	0	2	2	1	2	ASV_788	ASV_264	13	1516	1529
64	0.314459635697882	0.0359520099733812	0.00850228907782865	0.0274497208955525	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_1104	ASV_613	13	1516	1529
65	0.312849526128676	0.0366060322101372	0.0091563113145847	0.0274497208955525	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_431	ASV_407	14	1515	1529
66	0.31277684999177	0.0369330433285152	0.0091563113145847	0.0277767320139305	1	1	2	2	3	3	0	0	1	1	0	1	0	0	1	2	0	3	ASV_941	ASV_697	14	1515	1529
67	0.308328341526703	0.0378673608095953	0.0104643557880968	0.0274030050214985	2	9	1	5	3	12	2	0	7	5	3	9	1	0	8	5	3	9	ASV_13	ASV_33	16	1513	1529
68	0.307261482320901	0.0385213830463514	0.0111183780248529	0.0274030050214985	1	3	1	7	2	9	0	0	3	7	2	8	0	0	3	7	1	8	ASV_152	ASV_87	17	1512	1529
69	0.30722514199897	0.0385213830463514	0.0111183780248529	0.0274030050214985	2	3	1	3	3	6	0	0	2	3	0	4	0	0	3	3	0	6	ASV_182	ASV_294	17	1512	1529
70	0.306771098776171	0.0384396302667569	0.0111183780248529	0.027321252241904	1	3	3	4	4	7	0	0	3	2	0	4	0	0	3	4	0	7	ASV_77	ASV_489	17	1512	1529
71	0.306005554985281	0.039911180299458	0.0111183780248529	0.0287928022746051	1	3	1	6	2	9	0	0	3	6	0	6	0	0	3	6	0	9	ASV_670	ASV_624	17	1512	1529
72	0.30573421047095	0.0403199441974305	0.0111183780248529	0.0292015661725776	1	3	1	2	2	5	0	0	3	2	0	4	0	0	3	2	0	5	ASV_275	ASV_692	17	1512	1529
73	0.304895922960058	0.0408104608749976	0.0111183780248529	0.0296920828501447	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_331	ASV_312	17	1512	1529
74	0.304123177539709	0.0413009775525646	0.0111183780248529	0.0301825995277117	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_458	ASV_893	17	1512	1529
75	0.303478428678574	0.0419549997893206	0.0111183780248529	0.0308366217644678	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_1134	ASV_992	17	1512	1529
76	0.303417677140039	0.0426090220260767	0.0111183780248529	0.0314906440012238	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_369	ASV_340	17	1512	1529
77	0.302309916678364	0.0429905349975177	0.0111183780248529	0.0318721569726648	1	1	1	6	2	7	0	0	1	6	0	6	0	0	1	6	0	7	ASV_141	ASV_650	17	1512	1529
78	0.300132338025552	0.0436445572342738	0.0117724002616089	0.0318721569726648	1	1	1	9	2	9	0	0	1	9	2	8	0	0	1	9	1	8	ASV_649	ASV_17	18	1511	1529
79	0.298724641711453	0.0441350739118408	0.0117724002616089	0.0323626736502319	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_989	ASV_560	18	1511	1529
80	0.298603366278726	0.0447890961485969	0.012426422498365	0.0323626736502319	1	3	1	4	2	6	0	0	3	4	2	5	0	0	3	4	1	5	ASV_175	ASV_164	19	1510	1529
81	0.298178026490422	0.0454431183853529	0.013080444735121	0.0323626736502319	1	16	1	2	2	17	0	0	16	2	2	16	0	0	16	2	1	16	ASV_11	ASV_496	20	1509	1529
82	0.297334837133945	0.0465059045200815	0.0137344669718771	0.0327714375482044	1	4	1	3	2	6	0	0	4	3	2	4	0	0	4	3	1	5	ASV_763	ASV_401	21	1508	1529
83	0.295614103662894	0.0469419193445855	0.0137344669718771	0.0332074523727085	1	2	1	2	2	4	0	0	2	2	0	3	0	0	2	2	0	4	ASV_363	ASV_678	21	1508	1529
84	0.295406516487424	0.0475959415813416	0.0143884892086331	0.0332074523727085	1	1	1	10	2	10	0	0	1	10	2	9	0	0	1	10	1	9	ASV_339	ASV_157	22	1507	1529
85	0.294922167037321	0.0472689304629636	0.0143884892086331	0.0328804412543304	4	4	1	2	5	6	0	0	1	2	0	2	0	0	4	2	0	6	ASV_695	ASV_645	22	1507	1529
86	0.293974973059657	0.0477049452874676	0.0143884892086331	0.0333164560788345	1	2	1	2	2	4	0	0	2	2	0	3	0	0	2	2	0	4	ASV_338	ASV_285	22	1507	1529
87	0.292142905918851	0.0477049452874676	0.0143884892086331	0.0333164560788345	1	2	2	2	3	4	0	0	2	1	0	2	0	0	2	2	0	4	ASV_702	ASV_1134	22	1507	1529
88	0.291084866588975	0.0474869378752156	0.0143884892086331	0.0330984486665825	1	2	7	8	8	10	0	0	2	2	0	3	0	0	2	8	0	10	ASV_1044	ASV_508	22	1507	1529
89	0.2907491766218	0.0483589675242237	0.0143884892086331	0.0339704783155905	1	5	1	3	2	8	0	0	5	3	0	6	0	0	5	3	0	8	ASV_524	ASV_348	22	1507	1529
90	0.28933873682588	0.0482499638180977	0.0143884892086331	0.0338614746094645	1	3	2	2	3	5	0	0	3	1	0	3	0	0	3	2	0	5	ASV_99	ASV_756	22	1507	1529
91	0.28867240862845	0.0487404804956647	0.0143884892086331	0.0343519912870316	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_868	ASV_711	22	1507	1529
92	0.287966487098345	0.0493945027324208	0.0150425114453892	0.0343519912870316	1	2	1	8	2	9	0	0	2	8	2	8	0	0	2	8	1	8	ASV_640	ASV_86	23	1506	1529
93	0.287137703131482	0.0494490045854838	0.0150425114453892	0.0344064931400946	2	3	1	2	3	5	0	0	2	2	0	3	0	0	3	2	0	5	ASV_458	ASV_981	23	1506	1529
94	0.287034627609883	0.0502665323814288	0.0150425114453892	0.0352240209360396	1	8	1	2	2	10	0	0	8	2	0	8	0	0	8	2	0	10	ASV_46	ASV_455	23	1506	1529
95	0.28643109360512	0.0507570490589959	0.0150425114453892	0.0357145376136067	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_498	ASV_491	23	1506	1529
96	0.285649251833667	0.0511385620304369	0.0150425114453892	0.0360960505850477	1	2	1	5	2	7	0	0	2	5	0	6	0	0	2	5	0	7	ASV_181	ASV_782	23	1506	1529
97	0.285054393026902	0.0515064495386122	0.0150425114453892	0.036463938093223	1	7	1	2	2	9	0	0	7	2	0	8	0	0	7	2	0	9	ASV_238	ASV_302	23	1506	1529
98	0.284570228837852	0.0501166522855056	0.0150425114453892	0.0350741408401164	7	7	1	4	8	11	0	0	1	4	0	4	0	0	7	4	0	11	ASV_377	ASV_546	23	1506	1529
99	0.283267908736793	0.0507706745222616	0.0156965336821452	0.0350741408401164	1	1	1	12	2	12	0	0	1	12	2	11	0	0	1	12	1	11	ASV_111	ASV_57	24	1505	1529
100	0.282922129272441	0.0504436634038836	0.0156965336821452	0.0347471297217384	4	4	1	2	5	6	0	0	1	2	0	2	0	0	4	2	0	6	ASV_583	ASV_1207	24	1505	1529
101	0.280026236830536	0.0510976856406396	0.0163505559189013	0.0347471297217384	1	12	1	2	2	13	0	0	12	2	2	12	0	0	12	2	1	12	ASV_110	ASV_668	25	1504	1529
102	0.279659585706252	0.0515882023182067	0.0163505559189013	0.0352376463993054	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_781	ASV_723	25	1504	1529
103	0.279514926674591	0.0520242171427107	0.0163505559189013	0.0356736612238094	1	3	1	1	2	4	0	0	3	1	0	3	0	0	3	1	0	4	ASV_167	ASV_281	25	1504	1529
104	0.279500308258276	0.0525147338202777	0.0163505559189013	0.0361641779013765	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_480	ASV_962	25	1504	1529
105	0.276348207803878	0.0531687560570338	0.0170045781556573	0.0361641779013765	1	5	1	4	2	8	0	0	5	4	2	7	0	0	5	4	1	7	ASV_611	ASV_325	26	1503	1529
106	0.276309771809625	0.0540680366325734	0.0183126226291694	0.0357554140034039	2	6	1	4	3	8	2	0	4	4	3	5	1	0	5	4	3	5	ASV_763	ASV_177	28	1501	1529
107	0.27606682754546	0.0547220588693294	0.0183126226291694	0.03640943624016	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_855	ASV_483	28	1501	1529
108	0.274704367674248	0.0551580736938335	0.0183126226291694	0.036845451064664	1	1	1	3	2	4	0	0	1	3	0	3	0	0	1	3	0	4	ASV_158	ASV_408	28	1501	1529
109	0.273124776530796	0.0551090220260768	0.0183126226291694	0.0367963993969073	1	2	8	11	9	13	0	0	2	4	0	5	0	0	2	11	0	13	ASV_209	ASV_377	28	1501	1529
110	0.27310243547369	0.0555450368505808	0.0183126226291694	0.0372324142214114	1	2	1	2	2	4	0	0	2	2	0	3	0	0	2	2	0	4	ASV_334	ASV_1089	28	1501	1529
111	0.272785235590481	0.0564606679820393	0.0183126226291694	0.0381480453528698	1	4	1	3	2	7	0	0	4	3	0	5	0	0	4	3	0	7	ASV_886	ASV_816	28	1501	1529
112	0.271795998733695	0.0568285554902146	0.0183126226291694	0.0385159328610451	1	2	1	7	2	9	0	0	2	7	0	8	0	0	2	7	0	9	ASV_863	ASV_298	28	1501	1529
113	0.271737420891895	0.0569687031123766	0.0183126226291694	0.0386560804832071	1	3	2	9	3	12	0	0	3	7	0	8	0	0	3	9	0	12	ASV_672	ASV_974	28	1501	1529
114	0.271496817295144	0.0573190721677816	0.0183126226291694	0.0390064495386122	1	13	1	2	2	15	0	0	13	2	0	14	0	0	13	2	0	15	ASV_21	ASV_389	28	1501	1529
115	0.27143995609647	0.0577005851392227	0.0183126226291694	0.0393879625100532	1	5	1	2	2	7	0	0	5	2	0	6	0	0	5	2	0	7	ASV_190	ASV_610	28	1501	1529
116	0.271303400749411	0.0583546073759787	0.0189666448659255	0.0393879625100532	1	17	1	1	2	17	0	0	17	1	2	16	0	0	17	1	1	16	ASV_2	ASV_724	29	1500	1529
117	0.269926436711661	0.0588451240535458	0.0189666448659255	0.0398784791876202	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_126	ASV_373	29	1500	1529
118	0.269774726173728	0.0588941757213025	0.0189666448659255	0.039927530855377	1	2	2	5	3	7	0	0	2	4	0	5	0	0	2	5	0	7	ASV_773	ASV_275	29	1500	1529
119	0.268975216788784	0.0597662053703105	0.0189666448659255	0.040799560504385	1	4	1	4	2	8	0	0	4	4	0	6	0	0	4	4	0	8	ASV_133	ASV_329	29	1500	1529
120	0.267423077177516	0.0597662053703105	0.0189666448659255	0.040799560504385	3	6	1	3	4	9	0	0	4	3	0	6	0	0	6	3	0	9	ASV_182	ASV_636	29	1500	1529
121	0.266502375074829	0.0597444046290853	0.0189666448659255	0.0407777597631598	3	5	1	3	4	8	0	0	3	3	0	5	0	0	5	3	0	8	ASV_458	ASV_356	29	1500	1529
122	0.264834826766892	0.0605619324250304	0.0189666448659255	0.0415952875591049	1	3	1	7	2	10	0	0	3	7	0	8	0	0	3	7	0	10	ASV_641	ASV_306	29	1500	1529
123	0.264821203872197	0.0609434453964714	0.0189666448659255	0.0419768005305459	1	6	1	1	2	7	0	0	6	1	0	6	0	0	6	1	0	7	ASV_292	ASV_380	29	1500	1529
