# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_starting_classes_network_data.tsv
# >> Input file 2: "starting_classes_network_data.tsv
# >> Clustering of nodes with the Average Linkage method
# >> Recovering classification at step: 214
# >> Running at date:  (mm,dd,yy) 2, 20, 2024, and time: 20:54:12,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
86	0.311929225306599	0.141468868249055	0.0319917440660475	0.109477124183007	1	1	1	6	2	6	0	0	1	6	2	5	0	0	1	6	1	5	ASV_352	ASV_18	22	624	646
87	0.31147053632981	0.143016855865154	0.0335397316821466	0.109477124183007	1	3	1	1	2	3	0	0	3	1	2	2	0	0	3	1	1	2	ASV_48	ASV_100	23	623	646
88	0.310930190957852	0.143016855865154	0.0335397316821466	0.109477124183007	4	4	9	9	13	13	0	0	1	1	0	1	0	0	4	9	0	13	ASV_396	ASV_57	23	623	646
89	0.309983536143517	0.145338837289302	0.0335397316821466	0.111799105607156	1	3	1	3	2	6	0	0	3	3	0	4	0	0	3	3	0	6	ASV_337	ASV_175	23	623	646
90	0.309449490169478	0.146886824905401	0.0335397316821466	0.113347093223255	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_242	ASV_511	23	623	646
91	0.309287214609461	0.146370829033368	0.0335397316821466	0.112831097351222	2	10	1	2	3	12	0	0	6	2	0	6	0	0	10	2	0	12	ASV_221	ASV_706	23	623	646
92	0.30816624138471	0.147144822841418	0.0335397316821466	0.113605091159271	2	2	1	1	3	3	0	0	1	1	0	1	0	0	2	1	0	3	ASV_1441	ASV_85	23	623	646
93	0.30369270489867	0.148692810457517	0.0335397316821466	0.11515307877537	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_764	ASV_463	23	623	646
94	0.302899439032865	0.148305813553492	0.0335397316821466	0.114766081871345	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	ASV_582	ASV_191	23	623	646
95	0.302484429267171	0.146499828001377	0.0335397316821466	0.11296009631923	4	4	1	6	5	10	0	0	1	6	0	6	0	0	4	6	0	10	ASV_375	ASV_96	23	623	646
96	0.302038598383698	0.148047815617476	0.0335397316821466	0.114508083935329	1	1	1	1	2	2	0	0	1	1	0	1	0	0	1	1	0	2	ASV_168	ASV_253	23	623	646
97	0.301770752155589	0.149595803233575	0.0350877192982456	0.114508083935329	1	1	1	2	2	2	0	0	1	2	2	1	0	0	1	2	1	1	ASV_114	ASV_556	24	622	646
98	0.300279873790348	0.150756793945649	0.0350877192982457	0.115669074647403	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_549	ASV_434	24	622	646
99	0.299927438963335	0.152304781561748	0.0366357069143447	0.115669074647403	1	2	1	1	2	2	0	0	2	1	2	1	0	0	2	1	1	1	ASV_118	ASV_276	25	621	646
100	0.298654137179462	0.153852769177847	0.0381836945304438	0.115669074647403	1	5	1	1	2	5	0	0	5	1	2	4	0	0	5	1	1	4	ASV_31	ASV_555	26	620	646
101	0.297990479110876	0.153465772273823	0.0381836945304438	0.115282077743378	3	3	1	2	4	5	0	0	1	2	0	2	0	0	3	2	0	5	ASV_39	ASV_445	26	620	646
102	0.297192329231604	0.14920880632955	0.0381836945304438	0.111025111799106	13	13	1	2	14	15	0	0	1	2	0	2	0	0	13	2	0	15	ASV_396	ASV_177	26	620	646
103	0.296529025984879	0.14920880632955	0.0381836945304438	0.111025111799106	5	5	2	2	7	7	0	0	1	1	0	1	0	0	5	2	0	7	ASV_832	ASV_761	26	620	646
104	0.294892194384568	0.150756793945649	0.0397316821465429	0.111025111799106	1	11	1	1	2	11	0	0	11	1	2	10	0	0	11	1	1	10	ASV_6	ASV_737	27	619	646
105	0.294631853812219	0.152304781561748	0.041279669762642	0.111025111799106	1	5	1	2	2	6	0	0	5	2	2	5	0	0	5	2	1	5	ASV_64	ASV_131	28	618	646
106	0.293558051065967	0.152691778465773	0.041279669762642	0.111412108703131	2	3	1	1	3	4	0	0	2	1	0	2	0	0	3	1	0	4	ASV_346	ASV_588	28	618	646
107	0.290355637791465	0.154239766081872	0.042827657378741	0.111412108703131	1	4	1	1	2	4	0	0	4	1	2	3	0	0	4	1	1	3	ASV_108	ASV_285	29	617	646
108	0.290225607325826	0.155787753697971	0.0443756449948401	0.111412108703131	1	13	1	1	2	13	0	0	13	1	2	12	0	0	13	1	1	12	ASV_25	ASV_109	30	616	646
109	0.289706895765979	0.156948744410046	0.0443756449948401	0.112573099415205	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_433	ASV_123	30	616	646
110	0.289646074954538	0.168931315216146	0.0443756449948401	0.124555670221305	1	23	1	15	2	38	0	0	23	15	0	27	0	0	23	15	0	38	ASV_251	ASV_54	30	616	646
111	0.287351726069332	0.17009230592822	0.0443756449948401	0.12571666093338	1	1	1	2	2	3	0	0	1	2	0	2	0	0	1	2	0	3	ASV_367	ASV_297	30	616	646
112	0.286954337218705	0.17009230592822	0.0443756449948401	0.12571666093338	1	2	2	2	3	4	0	0	2	1	0	2	0	0	2	2	0	4	ASV_256	ASV_168	30	616	646
113	0.286654842648304	0.172414287352369	0.0443756449948401	0.128038642357528	1	4	1	2	2	6	0	0	4	2	0	4	0	0	4	2	0	6	ASV_259	ASV_709	30	616	646
114	0.284132054593544	0.173962274968468	0.0459236326109392	0.128038642357528	1	1	1	3	2	3	0	0	1	3	2	2	0	0	1	3	1	2	ASV_479	ASV_56	31	615	646
115	0.283513442249311	0.174994266712534	0.0479876160990713	0.127006650613462	2	4	1	4	3	6	0	0	3	4	3	4	0	0	4	4	2	4	partition_Class5	ASV_17	33	613	646
116	0.282175924220054	0.176155257424608	0.0479876160990713	0.128167641325537	1	2	1	1	2	3	0	0	2	1	0	2	0	0	2	1	0	3	ASV_329	ASV_330	33	613	646
117	0.282019190979411	0.177703245040707	0.0495356037151704	0.128167641325537	1	2	1	3	2	4	0	0	2	3	2	3	0	0	2	3	1	3	ASV_405	ASV_426	34	612	646
118	0.278751061386762	0.179010434583191	0.0515995872033025	0.127410847379888	2	13	1	7	3	18	0	0	9	7	3	10	0	0	13	7	2	16	ASV_157	ASV_80	36	610	646
119	0.277083311577857	0.181429165233346	0.0531475748194015	0.128281590413944	1	8	1	3	2	10	0	0	8	3	2	8	0	0	8	3	1	9	ASV_128	ASV_166	37	609	646
120	0.277011036518007	0.183493148721478	0.0531475748194015	0.130345573902076	1	2	1	6	2	8	0	0	2	6	0	6	0	0	2	6	0	8	ASV_950	ASV_561	37	609	646
121	0.275852267369783	0.180203675037267	0.0531475748194015	0.127056100217865	7	7	1	4	8	11	0	0	1	4	0	4	0	0	7	4	0	11	ASV_832	partition_Class1	37	609	646
122	0.274043569586737	0.180203675037267	0.0531475748194015	0.127056100217865	2	2	1	2	3	4	0	0	1	2	0	2	0	0	2	2	0	4	ASV_733	ASV_278	37	609	646
123	0.273632511985736	0.178784686389176	0.0531475748194015	0.125637111569775	14	15	1	2	15	17	0	0	2	2	0	3	0	0	15	2	0	17	ASV_396	ASV_661	37	609	646
124	0.27357498603063	0.178784686389176	0.0531475748194015	0.125637111569775	1	2	3	4	4	6	0	0	2	2	0	3	0	0	2	4	0	6	ASV_32	ASV_346	37	609	646
125	0.272200619417244	0.179629043270685	0.0531475748194015	0.126481468451283	1	3	1	9	2	12	0	0	3	9	0	11	0	0	3	9	0	12	ASV_59	ASV_37	37	609	646
126	0.271595921659548	0.182241272372852	0.0534055727554181	0.128835699617434	3	12	1	9	4	20	3	0	6	9	4	8	2	0	10	9	3	17	ASV_509	ASV_326	38	608	646
127	0.269889992219308	0.182112273404844	0.0534055727554181	0.128706700649426	1	2	4	5	5	7	0	0	2	2	0	3	0	0	2	5	0	7	ASV_562	ASV_582	38	608	646
