"","sampleid","Name.2","Community","Species","replicate","BreakingBag","parent","Location","Experiment","Part_Time0D_17","Part_Time0D_6","Part_Time4M_64","Part_Time7D_rep1_2","Part_Time7D_rep2_2","Part_Time7D_rep3_2","Part_Time7D_rep4_2","replicate.partition","partition","ExpCompact","exp.replicate.partition","exp.partition"
"218","BB09.4",NA,NA,NA,"Rep4",NA,"BB09","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"219","BB10.1",NA,NA,NA,"Rep1",NA,"BB10","BurhamBeeches","7D_rep1",NA,NA,NA,2,NA,NA,NA,"Rep1.Class2","Class2","Final","Final.Rep1.Class2","Final.Class2"
"220","BB10.2",NA,NA,NA,"Rep2",NA,"BB10","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"221","BB10.3",NA,NA,NA,"Rep3",NA,"BB10","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"222","BB10.4",NA,NA,NA,"Rep4",NA,"BB10","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"227","BB11.1",NA,NA,NA,"Rep1",NA,"BB11","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"228","BB11.2",NA,NA,NA,"Rep2",NA,"BB11","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"229","BB11.3",NA,NA,NA,"Rep3",NA,"BB11","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"230","BB11.4",NA,NA,NA,"Rep4",NA,"BB11","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"231","BB12.1",NA,NA,NA,"Rep1",NA,"BB12","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"232","BB12.2",NA,NA,NA,"Rep2",NA,"BB12","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"233","BB12.3",NA,NA,NA,"Rep3",NA,"BB12","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"234","BB12.4",NA,NA,NA,"Rep4",NA,"BB12","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"235","BB13.1",NA,NA,NA,"Rep1",NA,"BB13","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"236","BB13.2",NA,NA,NA,"Rep2",NA,"BB13","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"237","BB13.3",NA,NA,NA,"Rep3",NA,"BB13","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"238","BB13.4",NA,NA,NA,"Rep4",NA,"BB13","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"239","BB14.1",NA,NA,NA,"Rep1",NA,"BB14","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"240","BB14.2",NA,NA,NA,"Rep2",NA,"BB14","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"241","BB14.3",NA,NA,NA,"Rep3",NA,"BB14","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"242","BB14.4",NA,NA,NA,"Rep4",NA,"BB14","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"243","BB15.1",NA,NA,NA,"Rep1",NA,"BB15","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"244","BB15.2",NA,NA,NA,"Rep2",NA,"BB15","BurhamBeeches","7D_rep2",NA,NA,NA,NA,1,NA,NA,"Rep2.Class1","Class1","Final","Final.Rep2.Class1","Final.Class1"
"245","BB15.3",NA,NA,NA,"Rep3",NA,"BB15","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,1,NA,"Rep3.Class1","Class1","Final","Final.Rep3.Class1","Final.Class1"
"246","BB15.4",NA,NA,NA,"Rep4",NA,"BB15","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,1,"Rep4.Class1","Class1","Final","Final.Rep4.Class1","Final.Class1"
"247","BB16.1",NA,NA,NA,"Rep1",NA,"BB16","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
"248","BB16.2",NA,NA,NA,"Rep2",NA,"BB16","BurhamBeeches","7D_rep2",NA,NA,NA,NA,2,NA,NA,"Rep2.Class2","Class2","Final","Final.Rep2.Class2","Final.Class2"
"249","BB16.3",NA,NA,NA,"Rep3",NA,"BB16","BurhamBeeches","7D_rep3",NA,NA,NA,NA,NA,2,NA,"Rep3.Class2","Class2","Final","Final.Rep3.Class2","Final.Class2"
"250","BB16.4",NA,NA,NA,"Rep4",NA,"BB16","BurhamBeeches","7D_rep4",NA,NA,NA,NA,NA,NA,2,"Rep4.Class2","Class2","Final","Final.Rep4.Class2","Final.Class2"
"251","BB17.1",NA,NA,NA,"Rep1",NA,"BB17","BurhamBeeches","7D_rep1",NA,NA,NA,1,NA,NA,NA,"Rep1.Class1","Class1","Final","Final.Rep1.Class1","Final.Class1"
