"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","functionInk","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Set","shared name","Stress","TopologicalCoefficient"
"3.326530612244898","1.1142258138706968E-4","0.3006134969325153","0.0","2","6","40","false","ASV_989","32.5","0","2","0","0.9636479591836735","false","0","Final_ASV","ASV_989","544","0.5338983050847458"
"3.990580847723705","0.0","0.2505900865460267","0.0","1","7","30","false","ASV_560","14.0","0","1","0","0.9532721742543171","false","0","Final_ASV","ASV_560","0","0.0"
"3.6891679748822606","4.979139136796817E-5","0.27106382978723403","0.0","2","6","173","false","ASV_503","13.5","0","2","0","0.9579817503924647","false","0","Final_ASV","ASV_503","172","0.5208333333333334"
"4.006279434850863","0.0","0.24960815047021945","0.0","1","7","31","false","ASV_291","16.0","0","1","0","0.9530268838304553","false","0","Final_ASV","ASV_291","0","0.0"
"3.6122448979591835","6.615394923334399E-5","0.2768361581920904","0.3333333333333333","3","7","31","false","ASV_641","15.333333333333334","0","3","0","0.9591836734693877","false","0","Final_ASV","ASV_641","196","0.38461538461538464"
"3.927786499215071","0.0","0.2545963229416467","0.0","1","7","185","false","ASV_580","18.0","0","1","0","0.9542533359497645","false","0","Starting-ASV","ASV_580","0","0.0"
"3.927786499215071","0.0","0.2545963229416467","0.0","1","7","185","false","ASV_287","18.0","0","1","0","0.9542533359497645","false","0","Starting-ASV","ASV_287","0","0.0"
"3.5290423861852434","0.0","0.2833629893238434","0.0","1","7","95","false","ASV_737","30.0","0","1","0","0.9604837127158555","false","0","Starting-ASV","ASV_737","0","0.0"
"3.306122448979592","1.3444385406593713E-4","0.30246913580246915","0.16666666666666666","4","6","95","false","ASV_133","19.5","0","4","0","0.9639668367346939","false","0","Final_ASV","ASV_133","484","0.2923076923076923"
"3.2872841444270016","0.0","0.30420248328557786","1.0","2","6","69","false","ASV_220","35.5","0","2","0","0.964261185243328","false","0","Final_ASV","ASV_220","0","0.5546875"
"3.8116169544740974","0.0","0.2623558484349259","0.0","1","7","69","false","ASV_1104","20.0","0","1","0","0.9560684850863422","false","0","Final_ASV","ASV_1104","0","0.0"
"4.042386185243328","0.0","0.24737864077669905","0.0","1","7","99","false","ASV_111","12.0","0","1","0","0.952462715855573","false","0","Final_ASV","ASV_111","0","0.0"
"4.416012558869702","0.0","0.22644863135442586","0.0","1","7","162","false","ASV_479","3.0","0","1","0","0.9466248037676609","false","0","Starting-ASV","ASV_479","0","0.0"
"3.759811616954474","0.0","0.2659707724425887","0.0","1","7","165","false","ASV_855","25.0","0","1","0","0.9568779434850864","false","0","Final_ASV","ASV_855","0","0.0"
"3.759811616954474","0.0","0.2659707724425887","0.0","1","7","165","false","ASV_483","25.0","0","1","0","0.9568779434850864","false","0","Final_ASV","ASV_483","0","0.0"
"3.8100470957613815","0.0","0.2624639472599918","0.0","1","6","79","false","ASV_253","17.0","0","1","0","0.9560930141287284","false","0","Starting-ASV","ASV_253","0","0.0"
"6.207221350078493","0.0","0.1611026808295397","0.0","1","9","68","false","ASV_1093","2.0","0","1","0","0.9186371664050236","false","0","Final_ASV","ASV_1093","0","0.0"
"5.208791208791209","0.0031397174254317113","0.19198312236286919","0.0","2","8","68","false","ASV_502","1.5","0","2","0","0.9342376373626373","false","0","Final_ASV","ASV_502","4674","0.5"
"3.4740973312401886","0.0","0.28784455490284677","0.0","1","6","175","false","ASV_941","43.0","0","1","0","0.9613422291993721","false","0","Final_ASV","ASV_941","0","0.0"
"3.4740973312401886","0.0","0.28784455490284677","0.0","1","6","18","false","ASV_852","43.0","0","1","0","0.9613422291993721","false","0","Starting-ASV","ASV_852","0","0.0"
"3.4740973312401886","0.0","0.28784455490284677","0.0","1","6","18","false","ASV_697","43.0","0","1","0","0.9613422291993721","false","0","Final_ASV","ASV_697","0","0.0"
"3.4740973312401886","0.0","0.28784455490284677","0.0","1","6","18","false","ASV_633","43.0","0","1","0","0.9613422291993721","false","0","Starting-ASV","ASV_633","0","0.0"
"3.4740973312401886","0.0","0.28784455490284677","0.0","1","6","18","false","ASV_619","43.0","0","1","0","0.9613422291993721","false","0","Starting-ASV","ASV_619","0","0.0"
"3.4740973312401886","0.0","0.28784455490284677","0.0","1","6","18","false","ASV_1109","43.0","0","1","0","0.9613422291993721","false","0","Final_ASV","ASV_1109","0","0.0"
"3.9701726844583987","4.4576855171920475E-5","0.25187821273230526","0.0","2","7","83","false","ASV_1404","10.0","0","2","0","0.9535910518053375","false","0","Final_ASV","ASV_1404","64","0.5"
"4.152276295133438","0.0","0.24083175803402646","0.0","1","7","83","false","ASV_1213","12.0","0","1","0","0.95074568288854","false","0","Final_ASV","ASV_1213","0","0.0"
"3.521193092621664","6.559140057043242E-5","0.2839946500222916","0.0","2","7","147","false","ASV_1220","18.0","0","2","0","0.9606063579277865","false","0","Final_ASV","ASV_1220","230","0.5151515151515151"
"3.893249607535322","0.0","0.2568548387096774","0.0","1","7","142","false","ASV_705","19.0","0","1","0","0.9547929748822606","false","0","Final_ASV","ASV_705","0","0.0"
"5.004709576138148","0.0","0.19981179422835632","0.0","1","8","103","false","ASV_769","4.0","0","1","0","0.9374264128728415","false","0","Starting-ASV","ASV_769","0","0.0"
"5.004709576138148","0.0","0.19981179422835632","0.0","1","8","103","false","ASV_597","4.0","0","1","0","0.9374264128728415","false","0","Starting-ASV","ASV_597","0","0.0"
"4.276295133437991","0.0","0.23384728340675476","0.0","1","7","160","false","ASV_587","5.0","0","1","0","0.9488078885400314","false","0","Final_ASV","ASV_587","0","0.0"
"2.9701726844583987","0.0014447113592243501","0.33668076109936573","0.16666666666666666","9","6","88","false","ASV_91","21.444444444444443","0","9","0","0.9692160518053375","false","0","Final_ASV","ASV_91","4598","0.15158730158730158"
"4.133437990580847","0.0","0.24192935814660085","0.0","1","8","180","false","ASV_862","6.0","0","1","0","0.9510400313971743","false","0","Final_ASV","ASV_862","0","0.0"
"3.847723704866562","0.0","0.2598939208486332","0.0","1","7","87","false","ASV_845","23.0","0","1","0","0.95550431711146","false","0","Final_ASV","ASV_845","0","0.0"
"3.8100470957613815","2.830045580015479E-5","0.2624639472599918","0.0","2","7","72","false","ASV_863","14.0","0","2","0","0.9560930141287284","false","0","Final_ASV","ASV_863","66","0.52"
"3.389324960753532","9.351761565590174E-5","0.2950440018527096","0.0","2","6","22","false","ASV_661","37.5","0","2","0","0.962666797488226","false","0","Starting-ASV","ASV_661","350","0.5214285714285715"
"3.912087912087912","0.0","0.2556179775280899","0.0","1","7","90","false","ASV_310","17.0","0","1","0","0.9544986263736264","false","0","Final_ASV","ASV_310","0","0.0"
"2.9591836734693877","0.009939232509757761","0.33793103448275863","0.11538461538461539","13","6","63","false","ASV_96","17.0","0","13","0","0.9693877551020408","false","0","Both-ASV","ASV_96","23682","0.1156498673740053"
"5.0989010989010985","0.0","0.19612068965517243","0.0","1","8","64","false","ASV_407","2.0","0","1","0","0.9359546703296704","false","0","Final_ASV","ASV_407","0","0.0"
"3.598116169544741","7.166240987019588E-5","0.2779232111692845","0.0","2","7","37","false","ASV_405","15.0","0","2","0","0.9594044348508635","false","0","Starting-ASV","ASV_405","274","0.5384615384615384"
"2.8948194662480375","0.012280710465117011","0.34544468546637747","0.032679738562091505","18","6","218","false","ASV_43","11.777777777777779","0","18","0","0.9703934458398744","false","0","Both-ASV","ASV_43","28512","0.07481481481481482"
"3.3014128728414445","6.185665640987982E-4","0.30290061816452685","0.3333333333333333","3","6","29","false","ASV_93","30.0","0","3","0","0.9640404238618524","false","0","Final_ASV","ASV_93","1650","0.34901960784313724"
"3.106750392464678","9.039232414339367E-4","0.32187973724103086","0.0","4","6","185","false","ASV_83","25.0","0","4","0","0.9670820251177394","false","0","Final_ASV","ASV_83","2568","0.26666666666666666"
"3.8963893249607535","0.0","0.2566478646253022","0.0","1","8","29","false","ASV_320","20.0","0","1","0","0.9547439167974883","false","0","Final_ASV","ASV_320","0","0.0"
"3.8963893249607535","0.0","0.2566478646253022","0.0","1","8","29","false","ASV_174","20.0","0","1","0","0.9547439167974883","false","0","Final_ASV","ASV_174","0","0.0"
"3.8963893249607535","0.0","0.2566478646253022","0.0","1","8","29","false","ASV_1454","20.0","0","1","0","0.9547439167974883","false","0","Starting-ASV","ASV_1454","0","0.0"
"3.8963893249607535","0.0","0.2566478646253022","0.0","1","8","29","false","ASV_1441","20.0","0","1","0","0.9547439167974883","false","0","Starting-ASV","ASV_1441","0","0.0"
"2.8979591836734695","0.0237768857597259","0.34507042253521125","0.031578947368421054","20","7","154","false","ASV_4","10.85","0","20","0","0.970344387755102","false","0","Both-ASV","ASV_4","51170","0.06879194630872483"
"3.8131868131868134","0.0","0.2622478386167147","0.0","1","7","6","false","ASV_635","21.0","0","1","0","0.9560439560439561","false","0","Final_ASV","ASV_635","0","0.0"
"3.8131868131868134","0.0","0.2622478386167147","0.0","1","7","6","false","ASV_583","21.0","0","1","0","0.9560439560439561","false","0","Final_ASV","ASV_583","0","0.0"
"3.8131868131868134","0.0","0.2622478386167147","0.0","1","7","6","false","ASV_543","21.0","0","1","0","0.9560439560439561","false","0","Final_ASV","ASV_543","0","0.0"
"3.8131868131868134","0.0","0.2622478386167147","0.0","1","7","6","false","ASV_432","21.0","0","1","0","0.9560439560439561","false","0","Final_ASV","ASV_432","0","0.0"
"3.946624803767661","1.9925006285989973E-4","0.2533810660302307","0.0","3","6","160","false","ASV_444","4.0","0","3","0","0.9539589874411303","false","0","Final_ASV","ASV_444","434","0.3333333333333333"
"3.4097331240188384","5.474708685132522E-4","0.2932780847145488","0.0","3","7","6","false","ASV_99","20.0","0","3","0","0.9623479199372057","false","0","Final_ASV","ASV_99","1206","0.3392857142857143"
"3.9623233908948197","0.0","0.2523771790808241","0.0","1","7","156","false","ASV_756","17.0","0","1","0","0.9537136970172685","false","0","Final_ASV","ASV_756","0","0.0"
"2.8948194662480375","0.013828548126098007","0.34544468546637747","0.06432748538011696","19","6","115","false","ASV_49","14.368421052631579","0","19","0","0.9703934458398744","false","0","Final_ASV","ASV_49","31572","0.08076225045372051"
